Offer Name,Title,Description,Type,Code,Offer Page  ( Ctrl C to copy ),start_date(m/d/Year),Expiry,Coupon_featured,Tracking Extra parameter
Askmebazaar,Diwali Cracker Combo: Upto 85% Off On Home & Kitchen,"Diwali Cracker Combo: Upto 85% Off On Home & Kitchen at Askmebazaar. Offer valid till Stocks Last, So Hurry Now!!",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1650&aff_id=3094&url_id=9035,10/13/2015,10/19/2015,0,aff_sub
Askmebazaar,Flat 50% Off on Men Fashion,"Flat 50% Off on Men Fashion at Askmebazaar. Offer valid till Stocks Last, So Hurry Now!!",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1650&aff_id=3094&url_id=9033,10/13/2015,10/19/2015,0,aff_sub
Askmebazaar,Diwali Sale @ Askmebazaar: Flat 50% off on Fashion,"Diwali Sale @ Askmebazaar: Flat 50% off on Fashion at Askmebazaar. Offer valid till stocls last, So Hurry Now!! Offer Live at 13th Oct 2015 - 12AM Midnight.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1650&aff_id=3094&url_id=8989,10/13/2015,10/13/2015,0,aff_sub
McDonalds,Get a PIRI PIRI & a Veg Mayo FREE* on Every Medium & La,"Get a PIRI PIRI & a Veg Mayo FREE* on Every Medium & Large Meal Purchase at Mc Donald. Limited Period Offer, So dont wait, Go Grab it, Guys!!",Coupon,DIGMEAL,http://tracking.icubeswire.com/aff_c?offer_id=1082&aff_id=3094,10/7/2015,10/7/2015,0,aff_sub
McDonalds,Get a Burger Free of Your Choice With Order Above Rs.30,"Get a Burger Free of Your Choice With Order Above Rs.309 at Mc Donald. Limited Period Offer, So dont wait, Go Grab it, Guys!!",Coupon,DIG309,http://tracking.icubeswire.com/aff_c?offer_id=1082&aff_id=3094,10/7/2015,10/7/2015,0,aff_sub
McDonalds,Get a Saucy Wrap/McAloo Tikki/McEgg/Chicken McGrill of,"Get a Saucy Wrap/McAloo Tikki/McEgg/Chicken McGrill of Your Choice FREE on Order of Rs.189 & Above at Mc Donald. Limited Period Offer, So dont wait, Go Grab it, Guys!!",Coupon,DIG189,http://tracking.icubeswire.com/aff_c?offer_id=1082&aff_id=3094,10/7/2015,10/7/2015,0,aff_sub
McDonalds,Get A Medium Soft Serve or Small McFlurry FREE on Purch,"Get A Medium Soft Serve or Small McFlurry FREE on Purchase of any Medium or Large McSPICY Meal only at Mc Donald. Limited Period Offer, So dont wait, Go Grab it, Guys!!",Coupon,DIGSPICY,http://tracking.icubeswire.com/aff_c?offer_id=1082&aff_id=3094,10/7/2015,10/7/2015,0,aff_sub
McDonalds,Prebook Your Breakfast Orders a day in advance & Get Mc,"Prebook Your Breakfast Orders a day in advance & Get McMuffin FREE only at Mc Donald. Limited Period Offer, So dont wait, Go Grab it, Guys!!",Coupon,DIGBF,http://tracking.icubeswire.com/aff_c?offer_id=1082&aff_id=3094,10/7/2015,10/7/2015,0,aff_sub
PrintVenue,Cashback Offer @ Printvenue,Cashback Offer @ Printvenue. Use the respective coupon codes for each category to avail the discounts.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=104&aff_id=3094&url_id=4208,4/7/2015,4/7/2015,0,aff_sub
FoodPanda,Order Food via Web and Get 30% OFF,Order Food via Web and Get 30% OFF at Food Panda. Valid for all customers and Valid on online payment only. Limited Period offer. So Hurry!!,Coupon,PANDA30,http://tracking.icubeswire.com/aff_c?offer_id=62&aff_id=3094&url_id=5236,6/22/2015,6/22/2015,0,aff_sub
FoodPanda,Upto 50% off on Your Favorite Restaurants,Foodpanda Friday Offer: Power Play Deals - Upto 50% off on Your Favorite Restaurants at foodpanda. *Valid Only in Mumbai. Click to see the deal on the landing page. No coupon code required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=62&aff_id=3094&url_id=895,9/18/2014,9/18/2014,0,aff_sub
Fashionara,Flat 50% off on Florence Products,Flat 50% off on Florence Products for Women's at fashionara.com. No coupon code is required for this deal. Hurry up!!!!! Shop Now!!! Limited period offer.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=56&aff_id=3094&url=http://www.fashionara.com/shopby/brand-florence.html%3Futm_source%3DiCubes%26utm_medium%3Dbanner%26utm_campaign%3Dicubescps,4/20/2015,4/20/2015,0,aff_sub
Fashionara,Flat 70% off Avirate Items,Flat 70% off Avirate Products for Women\\\\\\'s at Fashionara. Offer valid ONLY on products listed on the landing page. No coupon code required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=56&aff_id=3094&url=http://www.fashionara.com/shopby/brand-avirate.html%3Futm_source%3DiCubes%26utm_medium%3Dbanner%26utm_campaign%3Dicubescps,4/15/2015,4/15/2015,0,aff_sub
Fashionara,Upto 70% off on International Brand Events,Upto 70% off on International Brand Events at fashionara. Click to see the deal on the landing page. Shop Now!!!! No coupon code required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=56&aff_id=3094&url_id=2642,4/29/2015,4/29/2015,0,aff_sub
Fashionara,Upto 70% off on Premium Brands,Upto 70% off on Premium Brands at fashionara.com. Hurry up!! Limited period offer. Shop Now!!!! No coupon code required. Click to see the deal on the landing page. Hurry up!!!!! Shop Now!!!Limited period offer.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=56&aff_id=3094&url=http://www.fashionara.com/sale%3Futm_source%3DiCubes%26utm_medium%3Dbanner%26utm_campaign%3Dicubescps,4/27/2015,4/27/2015,0,aff_sub
Fabfurnish,Luggage & Bags Under Rs. 1499,Luggage & Bags Under Rs. 1499 at fabfurnish. Click to see the deal on the landing page. Hurry up!!!!! Limited period offer. No coupon codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=30&aff_id=3094&url_id=1951,9/18/2014,9/18/2014,0,aff_sub
Fabfurnish,Furniture Wall Shelves Starting Rs. 890,Furniture Wall Shelves Starting Rs. 890 at fabfurnish.com. No coupon code required. Offer valid on products displayed on the landing page. Click to view the offer.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=30&aff_id=3094&url_id=611,4/16/2015,4/16/2015,0,aff_sub
Fabfurnish,"Register & Get Vouchers Worth Rs.11,000 & Decor inspira","Register & Get Vouchers Worth Rs.11,000 & Decor inspirations at Fabfurnish. Click to see the deal on the landing page. Hurry up!! Valid till Stock Lasts.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=30&aff_id=3094,10/1/2015,10/1/2015,0,aff_sub
Fabfurnish,Everything Under Rs. 999,"Everything Under Rs. 999 at fabfurnish.com. Click to view valid products from Decor, Bed & Bath and Kitchen & Dining categories. No coupon code required. Valid only on the products listed on landing page.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=30&aff_id=3094&url_id=1665,10/1/2015,10/1/2015,0,aff_sub
Askmebazaar,Grab an awesome Gym Bag only @ Rs 125,Grab an awesome Gym Bag only @ Rs 125 at Askmebazaar. Offer Valid till stocks last. So Hurry Now.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1650&aff_id=3094&url_id=6166,6/23/2015,6/23/2015,0,aff_sub
Askmebazaar,Great deal on Digital Thermometer only for Rs 125,Great deal on Digital Thermometer only for Rs 125 at Askmebazaar. Offer Valid till stocks last. So Hurry Now.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1650&aff_id=3094&url_id=6164,6/23/2015,6/23/2015,0,aff_sub
Askmebazaar,Amazing offer on Yonex Badminton Racket at Rs 500 only,Amazing offer on Yonex Badminton Racket at Rs 500 only at Askmebazaar. Offer Valid till stocks last. So Hurry Now.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1650&aff_id=3094&url_id=6162,6/23/2015,6/23/2015,0,aff_sub
Askmebazaar,Get Cosco Tennis Balls at Rs 295,Get Cosco Tennis Balls at Rs 295 at Askmebazaar. Offer Valid till stocks last. So Hurry Now.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1650&aff_id=3094&url_id=6160,6/23/2015,6/23/2015,0,aff_sub
Askmebazaar,Pair of hand grip exercise at Rs 125 only,Pair of hand grip exercise at Rs 125 only at Askmebazaar. Offer Valid till stocks last. So Hurry Now.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1650&aff_id=3094&url_id=6158,6/23/2015,6/23/2015,0,aff_sub
Askmebazaar,Grab an awesome Gym Bag only @ Rs 125,Grab an awesome Gym Bag only @ Rs 125 at Askmebazaar. Offer Valid till stocks last. So Hurry Now.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1650&aff_id=3094&url_id=6166,6/24/2015,6/24/2015,0,aff_sub
Askmebazaar,Great deal on Digital Thermometer only for Rs 125,Great deal on Digital Thermometer only for Rs 125 at Askmebazaar. Offer Valid till stocks last. So Hurry Now.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1650&aff_id=3094&url_id=6166,6/24/2015,6/24/2015,0,aff_sub
Askmebazaar,Amazing offer on Yonex Badminton Racket at Rs 500 only,Amazing offer on Yonex Badminton Racket at Rs 500 only at Askmebazaar. Offer Valid till stocks last. So Hurry Now.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1650&aff_id=3094&url_id=6162,6/24/2015,6/24/2015,0,aff_sub
Askmebazaar,Get Cosco Tennis Balls at Rs 295,Get Cosco Tennis Balls at Rs 295 at Askmebazaar. Offer Valid till stocks last. So Hurry Now.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=1650&aff_id=3094&url_id=6160,6/24/2015,6/24/2015,0,aff_sub
