Offer Name,Title,Description,Type,Code,Offer Page  ( Ctrl C to copy ),start_date(m/d/Year),Expiry,Coupon_featured,Tracking Extra parameter
Jabong,SHOP FROM DESKTOP AND GET EXTRA 20% OFF ON ORDERS ABOVE,"SHOP FROM DESKTOP AND GET EXTRA 20% OFF ON ORDERS ABOVE RS. 1599 at Jabong. Applicable only on the Products listed in this Catalogues. Maximum Discount of Upto 35% can be avail. Go Grab it. Limited Period Offer, Hurry Now!!",Coupon,SHOP20,http://tracking.icubeswire.com/aff_c?offer_id=2&aff_id=3094&url_id=523,6/28/2015,6/14/2016,1,aff_sub
Food Panda,Order Food via Web and Get 30% OFF,Order Food via Web and Get 30% OFF at Food Panda. Valid for all customers and Valid on online payment only. Limited Period offer. So Hurry!!,Coupon,PANDA30,http://tracking.icubeswire.com/aff_c?offer_id=62&aff_id=3094&url_id=5236,6/22/2015,7/16/2016,2,aff_sub
Firstcry,Flat 40% off on Toys & Gaming,Flat 40% off on Toys & Gaming at firstcry. Valid on select products. Hurry up!!!! Limited period offer. Use coupon code to avail the discount.,Coupon,FCTOYS40,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,4/14/2015,12/31/2015,3,aff_sub
Firstcry,Get Rs.150 off on Rs. 999 (Including Diapers),Get Rs.150 off on minimum purchase of Rs. 999 (Including Diapers) at firstcry. Not valid on few brands and categories. Shop Now. Offer valid till stock lasts. Coupon is valid for Limited period.,Coupon,FC150,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,4/20/2015,12/31/2015,4,aff_sub
Firstcry,Flat Rs. 200 off on Rs. 1199 (Across Site),Flat Rs. 200 off on Entire site on order above Rs. 1199 at firstcry. Coupon not applicable on few brands and categories. Shop Now. Offer valid till stock lasts. Coupon is valid for Limited period.,Coupon,FC200,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,4/27/2015,12/31/2015,5,aff_sub
Firstcry,Flat 20% off on Cricket Accessories,Flat 20% off on Cricket Accessories at firstcry. Valid on select products. One product per User. Shop Now. Offer valid till stock lasts. Coupon is valid for Limited period.,Coupon,CRICKET2015,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094&url_id=4440,4/14/2015,12/31/2015,6,aff_sub
Basicslife,Addtional Rs.1000 off on Rs. 2799 & Above,Extra Rs. 1000 on listed items on a minimum order of Rs. 2799 & above at Basicslife. This offer is valid only on the sale merchandise displayed on the landing page. Valid Till Stock Lasts. Shop Now!!!!,Coupon,SEPTLOOT,http://tracking.icubeswire.com/aff_c?offer_id=38&aff_id=3094&url_id=81,4/20/2015,5/31/2016,7,aff_sub
Paytm,Flat 25% off on AC and TV,Flat 25% off on AC and TV at Paytm. Click to see the deal on the landing page. Hurry up!!!!! Validity: Till further changes,Coupon,LA25,http://tracking.icubeswire.com/aff_c?offer_id=681&aff_id=3094&url_id=5172,5/28/2015,5/31/2016,8,aff_sub
Paytm,Every 10th user gets 100% Cashback on the Recharge of R,Maximum Cashback is Rs.100. There is no limit of Usage per user. Cashback will be credited within 24 hours of the transaction into users Paytm Wallet. Valid for all users. Valid on web & app.,Coupon,LUCKY10,http://tracking.icubeswire.com/aff_c?offer_id=681&aff_id=3094,10/7/2015,10/31/2015,9,aff_sub
Paytm,Get 50% Cashback on Bus ticket bookings,Maximum cashback is Rs.125. No Minimum order value. One promo code can be used 5 times by user. Cash back will be credited within 24 hours of the transaction into the users Paytm Account. Valid for all paytm users. User needs to have verified mobile number on Paytm to get cash back.,Coupon,OCTBUS50,http://tracking.icubeswire.com/aff_c?offer_id=681&aff_id=3094,10/5/2015,10/31/2015,10,aff_sub
Paytm,Get 10% Cashback on Bus ticket bookings,Maximum cashback is Rs.200. No Minimum order value. One promo code can be used 5 times? by user. Cashback will be credited within 24 hours of the transaction into the user’s Paytm Account?.? Valid for all paytm users. Valid on web and app.,Coupon,TRIP10,http://tracking.icubeswire.com/aff_c?offer_id=681&aff_id=3094&url_id=7260,9/29/2015,10/31/2015,11,aff_sub
Firstcry,Flat 20% OFF* on entire site,"Flat 20% OFF* on entire site at FirstCry. *Max discount is Rs.500. Valid till 31st Dec 2015. Not valid on Diapers, Combos, Formula and Supplements, Bottle Cleaning & Sterilization, Bottles & Accessories.",Coupon,ICW20ALL,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,9/24/2015,12/31/2015,12,aff_sub
Ferns & Petals,Get 15% Off on personalized gifts starting Rs.199,"Get 15% Off on personalized gifts starting Rs.199 at FernsnPetals. Hurry up!! Offer Valid till further changes, So Hurry Now!! Use coupon code to avail the discount.",Coupon,ICU15PSG,http://tracking.icubeswire.com/aff_c?offer_id=162&aff_id=3094&url_id=8703,9/22/2015,10/31/2015,13,aff_sub
Ferns & Petals,Get 15% Off on Chocolates starting Rs.399,"Get 15% Off on Chocolates starting Rs.399 at FernsnPetals. Hurry up!! Offer Valid till further changes, So Hurry Now!! Use coupon code to avail the discount.",Coupon,ICU15CHOC,http://tracking.icubeswire.com/aff_c?offer_id=162&aff_id=3094&url_id=8701,9/22/2015,10/31/2015,14,aff_sub
Ferns & Petals,Get 12% Off on Birthday Gifts,"Get 12% Off on Birthday Gifts at FernsnPetals. Hurry up!! Offer Valid till further changes, So Hurry Now!! Use coupon code to avail the discount.",Coupon,ICU12BDG,http://tracking.icubeswire.com/aff_c?offer_id=162&aff_id=3094&url_id=8699,9/22/2015,10/31/2015,15,aff_sub
Ferns & Petals,Get 12% Off on Anniversary Gifts,"Get 12% Off on Anniversary Gifts at FernsnPetals. Hurry up!! Offer Valid till further changes, So Hurry Now!! Use coupon code to avail the discount.",Coupon,ICUD12ANG,http://tracking.icubeswire.com/aff_c?offer_id=162&aff_id=3094&url_id=8697,9/22/2015,10/31/2015,16,aff_sub
Firstcry,Get Rs.250 OFF* on minimum purchase of Rs.999,Get Rs.250 OFF* on minimum purchase of Rs.999 at FirstCry. *Not valid on few brands and categories. Valid on MRP of products . Valid till 31st December 2015.,Coupon,ICSF250,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,9/21/2015,12/31/2015,17,aff_sub
Firstcry,Extra Rs.50 OFF* on Philips Avent at Firstcry,Extra Rs.50 OFF* on Philips Avent at Firstcry. *Not valid on Combos. Valid on MRP of products. Valid till 31st December 2015.,Coupon,ICSF50AVNT,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094&url_id=8647,9/21/2015,12/31/2015,18,aff_sub
Firstcry,Get Rs.300 OFF* on minimum purchase of Rs.1899,Get Rs.300 OFF* on minimum purchase of Rs.1899 at Firstcry. *Not valid on few categories and brands. Applicable on MRP of products.,Coupon,FC300,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,9/9/2015,12/31/2015,19,aff_sub
Firstcry,Rs.50 OFF* on your order,Rs.50 OFF* on your order at Firstcry. *Not valid on few categories and brands. Applicable on MRP of products.,Coupon,FC50ALL,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,9/9/2015,12/31/2015,20,aff_sub
Firstcry,Flat 17% OFF* on your order,Flat 17% OFF* on your order at Firstcry. Not valid on few categories and brands.,Coupon,FCFLAT17,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,9/9/2015,12/31/2015,21,aff_sub
Firstcry,Flat 20% OFF* on your order above Rs.1499,Flat 20% OFF* on your order above Rs.1499 at Firstcry. *Not valid on few categories and brands. Not applicable with any other offer.,Coupon,FC20ORDR,http://tracking.icubeswire.com/aff_c?offer_id=1534&aff_id=3094,9/9/2015,12/31/2015,22,aff_sub
