Offer Name,Title,Description,Type,Code,Offer Page  ( Ctrl C to copy ),start_date(m/d/Year),Expiry,Coupon_featured,Tracking Extra parameter
Firstcry,Rs.700 OFF* on minimum purchase of Rs.2099,,Coupon,FCAFF700,http://tracking.payoom.com/aff_c?offer_id=20&aff_id=14745&url=http%3A%2F%2Fwww.firstcry.com%2F%3Fref%3DPYM_%7Baffiliate_id%7D%26utm_source%3DPym%26utm_medium%3DAff%26utm_campaign%3D%7Baffiliate_id%7D,5/6/2015,31-12-2015,,14745
Firstcry,Get 25% OFF* on Clothes Shoes & Fashion + 40% Cashback,,Coupon, FCPRINCESS,http://tracking.payoom.com/aff_c?offer_id=20&aff_id=14745&url=http%3A%2F%2Fwww.firstcry.com%2Ffeaturedoffers.aspx%3Fcpid%3D249%26ref%3DPYM_%7Baffiliate_id%7D%26utm_source%3DPym%26utm_medium%3DAff%26utm_campaign%3D%7Baffiliate_id%7D,5/6/2015,31-12-2015,,14745
Firstcry, Boys Special | Get 25% OFF* on Clothes Shoes & Fashion + 40% Cashback,,Coupon,FCPRINCE,http://tracking.payoom.com/aff_c?offer_id=20&aff_id=14745&url=http%3A%2F%2Fwww.firstcry.com%2Ffeaturedoffers.aspx%3Fcpid%3D250%26ref%3DPYM_%7Baffiliate_id%7D%26utm_source%3DPym%26utm_medium%3DAff%26utm_campaign%3D%7Baffiliate_id%7D,5/6/2015,31-12-2015,,14745
Firstcry, Flat 75% OFF* on Handpicked Products,,Coupon,FC75,http://tracking.payoom.com/aff_c?offer_id=20&aff_id=14745&url=http%3A%2F%2Fwww.firstcry.com%2Ftopoffers.aspx%3Fmoid%3D2564%26ref%3DPYM_%7Baffiliate_id%7D%26utm_source%3DPym%26utm_medium%3DAff%26utm_campaign%3D%7Baffiliate_id%7D,5/6/2015,31-12-2015,,14745
Firstcry,Additional 15% OFF + 10% Cashback on all Diapers,,Coupon,FC15DPCB,http://tracking.payoom.com/aff_c?offer_id=20&aff_id=14745&url=http%3A%2F%2Fwww.firstcry.com%2Fbaby-diapers%2F1%2F27%3F%26ref%3DPYM_%7Baffiliate_id%7D%26utm_source%3DPym%26utm_medium%3DAff%26utm_campaign%3D%7Baffiliate_id%7D,5/6/2015,31-12-2015,,14745
Shopclues  ,Bestselling Brands like Rexona Paragon Action starting at Rs.89,,Coupon,SCPFB10,http://tracking.payoom.com/aff_c?offer_id=646&aff_id=14745&url=http%3A%2F%2Fwww.shopclues.com%2Ffootwear-en%2Fpocket-friendly-brands.html%3Futm_source%3Dpayoom%26utm_medium%3DCPS,23-06-2015,31-12-2015,,14745
Shopclues  ,Bestselling Brands like Rexona Paragon Action starting at Rs.89,,Coupon,SCPFB10,http://tracking.payoom.com/aff_c?offer_id=646&aff_id=14745&url=http%3A%2F%2Fwww.shopclues.com%2Ffootwear-en%2Fpocket-friendly-brands.html%3Futm_source%3Dpayoom%26utm_medium%3DCPS,23-06-2015,31-12-2015,,14745
Firstcry,Rs.700 OFF* on minimum purchase of Rs.2099 | ,,Coupon,FCAFF700,http://tracking.payoom.com/aff_c?offer_id=20&aff_id=14745&url=http%3A%2F%2Fwww.firstcry.com%2F%3Fref%3DPYM_%7Baffiliate_id%7D%26utm_source%3DPym%26utm_medium%3DAff%26utm_campaign%3D%7Baffiliate_id%7D,24-06-2015,31-12-2015,,14745
Firstcry, Get 25% OFF* on Clothes Shoes & Fashion + 40% Cashback ,,Coupon, FCPRINCESS,http://tracking.payoom.com/aff_c?offer_id=20&aff_id=14745&url=http%3A%2F%2Fwww.firstcry.com%2Ffeaturedoffers.aspx%3Fcpid%3D249%26ref%3DPYM_%7Baffiliate_id%7D%26utm_source%3DPym%26utm_medium%3DAff%26utm_campaign%3D%7Baffiliate_id%7D,24-06-2015,31-12-2015,,14745
Firstcry,Boys Special | Get 25% OFF* on Clothes Shoes & Fashion + 40% Cashback,,Coupon,FCPRINCE,http://tracking.payoom.com/aff_c?offer_id=20&aff_id=14745&url=http%3A%2F%2Fwww.firstcry.com%2Ffeaturedoffers.aspx%3Fcpid%3D250%26ref%3DPYM_%7Baffiliate_id%7D%26utm_source%3DPym%26utm_medium%3DAff%26utm_campaign%3D%7Baffiliate_id%7D,24-06-2015,31-12-2015,,14745
