Offer Name,Title,Description,Type,Code,Offer Page  ( Ctrl C to copy ),start_date(m/d/Year),Expiry,Coupon_featured,Tracking Extra parameter
Flipkart,Rakhis & Rakhi sets - Starting at Rs.149,Rakhis & Rakhi sets starting at Rs.149,Promotion,,http://dl.flipkart.com/dl/promotion/pr?offer=b:mp:c:070af98305.&sid=1m7&affid=osizkamal,8/10/2015,10/1/2015,,
Flipkart,Containers - MINIMUM 50% OFF,MINIMUM 50% OFF on Containers,Promotion,,"http://dl.flipkart.com/dl/promotion/pr?offer=b:mp:c:020d86bd30.&sid=r4l,v2a,29e&affid=osizkamal",8/10/2015,10/1/2015,,
Flipkart,Single Bedsheets set of 2 - At just Rs.599,Single Bedsheets set of 2 at just Rs.599,Promotion,,http://dl.flipkart.com/dl/promotion/pr?offer=b:mp:c:07574b4e13.&sid=vdm&affid=osizkamal,8/10/2015,10/1/2015,,
Flipkart,Food Processors - Up to 20% off,Up to 20% off on Food Processors as Raksha Bandhan gifts,Promotion,,"http://dl.flipkart.com/dl/promotion/pr?offer=b:mp:c:074dd82813.&sid=j9e,m38,rj3&affid=osizkamal",8/10/2015,10/1/2015,,
Flipkart,LED & CFL Bulbs - MINIMUM 35% OFF,MINIMUM 35% OFF on LED & CFL Bulbs,Promotion,,"http://dl.flipkart.com/dl/promotion/pr?offer=b:mp:c:03e00be012.&sid=r4l,nmw&affid=osizkamal",8/10/2015,10/1/2015,,
Flipkart,Window Curtains set of 2 - At just Rs.499,Window Curtains set of 2 at just Rs.499,Promotion,,http://dl.flipkart.com/dl/promotion/pr?offer=b:mp:c:07f6b4a913.&sid=vdm&affid=osizkamal,8/10/2015,10/1/2015,,
Flipkart,Sofas - Minimum 30% off,Minimum 30% off on Sofas,Promotion,,http://dl.flipkart.com/dl/promotion/pr?offer=b:mp:c:07687a4110.&sid=anx&affid=osizkamal,8/10/2015,10/1/2015,,
Flipkart,UP TO 50% OFF on Irons,Irons - UP TO 50% OFF,Promotion,,"http://dl.flipkart.com/dl/promotion/pr?offer=b:mp:c:0248fb3b26.&sid=j9e,abm,a0u&affid=osizkamal",8/10/2015,10/1/2015,,
Flipkart,Gardening Tools - Below Rs.499,Gardening Tools below Rs.499,Promotion,,"http://dl.flipkart.com/dl/promotion/pr?offer=b:mp:c:0571cc4017.&sid=amz,qrp,h0o&affid=osizkamal",8/10/2015,10/1/2015,,
Flipkart,Kitchen Tools - UP TO 70% OFF,UP TO 70% OFF on Kitchen Tools,Promotion,,"http://dl.flipkart.com/dl/promotion/pr?offer=b:mp:c:015a739a04.&sid=r4l,gs0&affid=osizkamal",8/10/2015,10/1/2015,,
