productId,title,description,imageUrlStr,mrp,price,productUrl,categories,productBrand,deliveryTime,inStock,codAvailable,emiAvailable,offers,discount,cashBack,size,color,sizeUnit,sizeVariants,colorVariants,styleCode,amazon,ebay,snapdeal,shopclubes,indiatimes
MOBDZ4U5HHTCMHKF,Philips S308,,http://img5a.flixcart.com/image/mobile/h/k/f/philips-s308-400x400-imadz5g3rhnbjkbe.jpeg;http://img5a.flixcart.com/image/mobile/h/k/f/philips-s308-275x275-imadz5g3rhnbjkbe.jpeg;http://img6a.flixcart.com/image/mobile/h/k/f/philips-s308-75x75-imadz5g3rhnbjkbe.jpeg;http://img6a.flixcart.com/image/mobile/h/k/f/philips-s308-125x125-imadz5g3rhnbjkbe.jpeg;http://img6a.flixcart.com/image/mobile/h/k/f/philips-s308-40x40-imadz5g3rhnbjkbe.jpeg;http://img6a.flixcart.com/image/mobile/h/k/f/philips-s308-1100x1100-imadz5g3rhnbjkbe.jpeg;http://img5a.flixcart.com/image/mobile/h/k/f/philips-s308-100x100-imadz5g3rhnbjkbe.jpeg;http://img5a.flixcart.com/image/mobile/h/k/f/philips-s308-200x200-imadz5g3rhnbjkbe.jpeg;http://img5a.flixcart.com/image/mobile/h/k/f/philips-s308-original-imadz5g3rhnbjkbe.jpeg;,8290,4300,http://dl.flipkart.com/dl/philips-s308/p/itmdz4u58npbnaqz?pid=MOBDZ4U5HHTCMHKF&affid=gkmlogist,Mobiles>Handsets,Philips,,TRUE,TRUE,,,48,0,,Black,inch,[],,,,,,,
MOBE36EFJSR7WTDT,Gionee Marathon,"5 inch HD (1020X720) AMOLED?display, OTG support (M2 supported OTG only for charging other phones), 8 GB internal storage, pre-installed Android 4.4 KitKat",http://img6a.flixcart.com/image/mobile/t/d/t/gionee-marathon-m3-400x400-imae35aaazzwb2jb.jpeg;http://img5a.flixcart.com/image/mobile/t/d/t/gionee-marathon-m3-75x75-imae35aaazzwb2jb.jpeg;http://img6a.flixcart.com/image/mobile/t/d/t/gionee-marathon-m3-275x275-imae35aaazzwb2jb.jpeg;http://img6a.flixcart.com/image/mobile/t/d/t/gionee-marathon-m3-125x125-imae35aaazzwb2jb.jpeg;http://img5a.flixcart.com/image/mobile/t/d/t/gionee-marathon-m3-40x40-imae35aaazzwb2jb.jpeg;http://img5a.flixcart.com/image/mobile/t/d/t/gionee-marathon-m3-100x100-imae35aaazzwb2jb.jpeg;http://img6a.flixcart.com/image/mobile/t/d/t/gionee-marathon-m3-200x200-imae35aaazzwb2jb.jpeg;http://img6a.flixcart.com/image/mobile/t/d/t/gionee-marathon-m3-original-imae35aaazzwb2jb.jpeg;,13999,11499,http://dl.flipkart.com/dl/gionee-marathon/p/itme6gudynsj8fyg?pid=MOBE36EFJSR7WTDT&affid=gkmlogist,Mobiles>Handsets,Gionee,,TRUE,TRUE,,,17,0,,Black,inch,[],,,,,,,
MOBE99GWUYT6QHRX,iBall Mslr Cobalt 4,,http://img6a.flixcart.com/image/mobile/h/r/x/iball-mslr-cobalt-4-cobalt-4-400x400-imae99ynsga9qznb.jpeg;http://img6a.flixcart.com/image/mobile/h/r/x/iball-mslr-cobalt-4-cobalt-4-original-imae99ynsga9qznb.jpeg;http://img6a.flixcart.com/image/mobile/h/r/x/iball-mslr-cobalt-4-cobalt-4-75x75-imae99ynsga9qznb.jpeg;http://img5a.flixcart.com/image/mobile/h/r/x/iball-mslr-cobalt-4-cobalt-4-275x275-imae99ynsga9qznb.jpeg;http://img5a.flixcart.com/image/mobile/h/r/x/iball-mslr-cobalt-4-cobalt-4-125x125-imae99ynsga9qznb.jpeg;http://img5a.flixcart.com/image/mobile/h/r/x/iball-mslr-cobalt-4-cobalt-4-40x40-imae99ynsga9qznb.jpeg;http://img5a.flixcart.com/image/mobile/h/r/x/iball-mslr-cobalt-4-cobalt-4-1100x1100-imae99ynsga9qznb.jpeg;http://img5a.flixcart.com/image/mobile/h/r/x/iball-mslr-cobalt-4-cobalt-4-100x100-imae99ynsga9qznb.jpeg;http://img6a.flixcart.com/image/mobile/h/r/x/iball-mslr-cobalt-4-cobalt-4-200x200-imae99ynsga9qznb.jpeg;,8999,8399,http://dl.flipkart.com/dl/iball-mslr-cobalt-4/p/itme99gwwf6hpfff?pid=MOBE99GWUYT6QHRX&affid=gkmlogist,Mobiles>Handsets,iBall,,TRUE,TRUE,,,6,0,,Coffee Brown,,[],,,,,,,
MOBE39MGDYBXX7RY,Intex Aqua Power,,http://img6a.flixcart.com/image/mobile/7/r/y/intex-aqua-power-400x400-imae39npua4vsw37.jpeg;http://img5a.flixcart.com/image/mobile/7/r/y/intex-aqua-power-75x75-imae39npua4vsw37.jpeg;http://img6a.flixcart.com/image/mobile/7/r/y/intex-aqua-power-275x275-imae39npua4vsw37.jpeg;http://img6a.flixcart.com/image/mobile/7/r/y/intex-aqua-power-125x125-imae39npua4vsw37.jpeg;http://img5a.flixcart.com/image/mobile/7/r/y/intex-aqua-power-original-imae39npua4vsw37.jpeg;http://img6a.flixcart.com/image/mobile/7/r/y/intex-aqua-power-40x40-imae39npua4vsw37.jpeg;http://img6a.flixcart.com/image/mobile/7/r/y/intex-aqua-power-100x100-imae39npua4vsw37.jpeg;http://img5a.flixcart.com/image/mobile/7/r/y/intex-aqua-power-200x200-imae39npua4vsw37.jpeg;,8990,7990,http://dl.flipkart.com/dl/intex-aqua-power/p/itme6gueftdrhghz?pid=MOBE39MGDYBXX7RY&affid=gkmlogist,Mobiles>Handsets,Intex,,TRUE,TRUE,,,11,0,,Black,inch,[],,,,,,,
MOBDSYAMGYSPFHZD,Atom Supremus,,http://img5a.flixcart.com/image/mobile/h/z/d/atom-supremus-400x400-imadsybgebvqau3z.jpeg;http://img6a.flixcart.com/image/mobile/h/z/d/atom-supremus-original-imadsybgebvqau3z.jpeg;http://img6a.flixcart.com/image/mobile/h/z/d/atom-supremus-275x275-imadsybgebvqau3z.jpeg;http://img6a.flixcart.com/image/mobile/h/z/d/atom-supremus-75x75-imadsybgebvqau3z.jpeg;http://img6a.flixcart.com/image/mobile/h/z/d/atom-supremus-125x125-imadsybgebvqau3z.jpeg;http://img6a.flixcart.com/image/mobile/h/z/d/atom-supremus-40x40-imadsybgebvqau3z.jpeg;http://img6a.flixcart.com/image/mobile/h/z/d/atom-supremus-100x100-imadsybgebvqau3z.jpeg;http://img6a.flixcart.com/image/mobile/h/z/d/atom-supremus-200x200-imadsybgebvqau3z.jpeg;,19999,7999,http://dl.flipkart.com/dl/atom-supremus/p/itme6g4y96fh6jhk?pid=MOBDSYAMGYSPFHZD&affid=gkmlogist,Mobiles>Handsets,Atom,,TRUE,TRUE,,,60,0,,White,,[MOBDSYAMZZAFZBQP],[MOBDSYAMZZAFZBQP],,,,,,
MOBE6PDJ6JEHMH4D,Videocon A54,this is a nice phone by videocon company which have android jelly bean 1.2 ghz quad core processor large display of 5.3 inch and dual camera -8 mp rear & 1.3 mp front,http://img5a.flixcart.com/image/mobile/h/4/d/videocon-touch-a54-400x400-imae6p9ezguzbz4z.jpeg;http://img6a.flixcart.com/image/mobile/h/4/d/videocon-touch-a54-275x275-imae6p9ezguzbz4z.jpeg;http://img5a.flixcart.com/image/mobile/h/4/d/videocon-touch-a54-75x75-imae6p9ezguzbz4z.jpeg;http://img6a.flixcart.com/image/mobile/h/4/d/videocon-touch-a54-125x125-imae6p9ezguzbz4z.jpeg;http://img5a.flixcart.com/image/mobile/h/4/d/videocon-touch-a54-40x40-imae6p9ezguzbz4z.jpeg;http://img5a.flixcart.com/image/mobile/h/4/d/videocon-touch-a54-1100x1100-imae6p9ezguzbz4z.jpeg;http://img6a.flixcart.com/image/mobile/h/4/d/videocon-touch-a54-original-imae6p9ezguzbz4z.jpeg;http://img5a.flixcart.com/image/mobile/h/4/d/videocon-touch-a54-100x100-imae6p9ezguzbz4z.jpeg;http://img5a.flixcart.com/image/mobile/h/4/d/videocon-touch-a54-200x200-imae6p9ezguzbz4z.jpeg;,11990,6700,http://dl.flipkart.com/dl/videocon-a54/p/itme6pdkspkgjgnh?pid=MOBE6PDJ6JEHMH4D&affid=gkmlogist,Mobiles>Handsets,Videocon,,TRUE,TRUE,,,44,0,,dark grey,,[],,,,,,,
MOBE6VX5UNNBAZE7,Rio New York,"Rio New York: Brilliant 5"" FWVGA IPS HD screen, extra bright display, 1.3 Ghz Quad core processor, Android KitKat (4.4.2), stylish with Leather like back body, Large 2000 mAh battery, 4GB memory, 8 MP Primary + 2MP front camera with flash, Dual SIM",http://img5a.flixcart.com/image/mobile/z/e/7/rio-new-york-new-york-400x400-imae6vqfzggkabpw.jpeg;http://img6a.flixcart.com/image/mobile/z/e/7/rio-new-york-new-york-75x75-imae6vqfzggkabpw.jpeg;http://img6a.flixcart.com/image/mobile/z/e/7/rio-new-york-new-york-275x275-imae6vqfzggkabpw.jpeg;http://img5a.flixcart.com/image/mobile/z/e/7/rio-new-york-new-york-original-imae6vqfzggkabpw.jpeg;http://img5a.flixcart.com/image/mobile/z/e/7/rio-new-york-new-york-125x125-imae6vqfzggkabpw.jpeg;http://img5a.flixcart.com/image/mobile/z/e/7/rio-new-york-new-york-40x40-imae6vqfzggkabpw.jpeg;http://img6a.flixcart.com/image/mobile/z/e/7/rio-new-york-new-york-1100x1100-imae6vqfzggkabpw.jpeg;http://img6a.flixcart.com/image/mobile/z/e/7/rio-new-york-new-york-100x100-imae6vqfzggkabpw.jpeg;http://img6a.flixcart.com/image/mobile/z/e/7/rio-new-york-new-york-200x200-imae6vqfzggkabpw.jpeg;,5599,3299,http://dl.flipkart.com/dl/rio-new-york/p/itme6vx5afuugezu?pid=MOBE6VX5UNNBAZE7&affid=gkmlogist,Mobiles>Handsets,Rio,,TRUE,TRUE,,,41,0,,Black,,[],,,,,,,
MOBE7VEYG252SHXY,Micromax Canvas Fire 3 A096,Micromax introduced its latest android phone named Canvas Fire 3 A096 with several attractive specifications. This phone having 1.3 GHz quad core processor and 1 GB RAM. Chipset used is MediaTek powered and the graphics card name is Mali-400. Sensors used is accelerometer and proximity.,http://img6a.flixcart.com/image/mobile/h/x/y/micromax-fire-3-a096-canvas-fire-3-a096-400x400-imae7vhu2zcq8pcv.jpeg;http://img5a.flixcart.com/image/mobile/h/x/y/micromax-fire-3-a096-canvas-fire-3-a096-original-imae7vhu2zcq8pcv.jpeg;http://img5a.flixcart.com/image/mobile/h/x/y/micromax-fire-3-a096-canvas-fire-3-a096-75x75-imae7vhu2zcq8pcv.jpeg;http://img6a.flixcart.com/image/mobile/h/x/y/micromax-fire-3-a096-canvas-fire-3-a096-275x275-imae7vhu2zcq8pcv.jpeg;http://img6a.flixcart.com/image/mobile/h/x/y/micromax-fire-3-a096-canvas-fire-3-a096-125x125-imae7vhu2zcq8pcv.jpeg;http://img5a.flixcart.com/image/mobile/h/x/y/micromax-fire-3-a096-canvas-fire-3-a096-40x40-imae7vhu2zcq8pcv.jpeg;http://img5a.flixcart.com/image/mobile/h/x/y/micromax-fire-3-a096-canvas-fire-3-a096-1100x1100-imae7vhu2zcq8pcv.jpeg;http://img5a.flixcart.com/image/mobile/h/x/y/micromax-fire-3-a096-canvas-fire-3-a096-100x100-imae7vhu2zcq8pcv.jpeg;http://img6a.flixcart.com/image/mobile/h/x/y/micromax-fire-3-a096-canvas-fire-3-a096-200x200-imae7vhu2zcq8pcv.jpeg;,8399,5590,http://dl.flipkart.com/dl/micromax-canvas-fire-3-a096/p/itme7veyh25ztpsy?pid=MOBE7VEYG252SHXY&affid=gkmlogist,Mobiles>Handsets,Micromax,,TRUE,TRUE,,,33,0,,Black,,[],,,,,,,
MOBEYZ5JQS6GQ9N7,iNew V8,,http://img6a.flixcart.com/image/mobile/g/4/g/inew-v8-octa-core-400x400-imaeyeyjykph66qh.jpeg;http://img5a.flixcart.com/image/mobile/g/4/g/inew-v8-octa-core-275x275-imaeyeyjykph66qh.jpeg;http://img6a.flixcart.com/image/mobile/g/4/g/inew-v8-octa-core-75x75-imaeyeyjykph66qh.jpeg;http://img6a.flixcart.com/image/mobile/g/4/g/inew-v8-octa-core-125x125-imaeyeyjykph66qh.jpeg;http://img5a.flixcart.com/image/mobile/g/4/g/inew-v8-octa-core-40x40-imaeyeyjykph66qh.jpeg;http://img5a.flixcart.com/image/mobile/g/4/g/inew-v8-octa-core-100x100-imaeyeyjykph66qh.jpeg;http://img5a.flixcart.com/image/mobile/g/4/g/inew-v8-octa-core-original-imaeyeyjykph66qh.jpeg;http://img5a.flixcart.com/image/mobile/g/4/g/inew-v8-octa-core-200x200-imaeyeyjykph66qh.jpeg;,24990,21221,http://dl.flipkart.com/dl/inew-v8/p/itmeyz5jjz5t8zev?pid=MOBEYZ5JQS6GQ9N7&affid=gkmlogist,Mobiles>Handsets,iNew,,TRUE,TRUE,,,15,0,,White,inch,[],"[MOBEBFEHHGSPXZY6, MOBEBUXRCHFJ3FTZ]",,,,,,
MOBE3Z3F7THKGD95,Hitech AIR A2,,http://img5a.flixcart.com/image/mobile/d/9/5/hitech-air-a2-400x400-imae3z7wjj5hmgbq.jpeg;http://img5a.flixcart.com/image/mobile/d/9/5/hitech-air-a2-75x75-imae3z7wjj5hmgbq.jpeg;http://img5a.flixcart.com/image/mobile/d/9/5/hitech-air-a2-275x275-imae3z7wjj5hmgbq.jpeg;http://img5a.flixcart.com/image/mobile/d/9/5/hitech-air-a2-125x125-imae3z7wjj5hmgbq.jpeg;http://img5a.flixcart.com/image/mobile/d/9/5/hitech-air-a2-40x40-imae3z7wjj5hmgbq.jpeg;http://img6a.flixcart.com/image/mobile/d/9/5/hitech-air-a2-100x100-imae3z7wjj5hmgbq.jpeg;http://img6a.flixcart.com/image/mobile/d/9/5/hitech-air-a2-200x200-imae3z7wjj5hmgbq.jpeg;http://img5a.flixcart.com/image/mobile/d/9/5/hitech-air-a2-original-imae3z7wjj5hmgbq.jpeg;,5999,3799,http://dl.flipkart.com/dl/hitech-air-a2/p/itme3z3fetefuxha?pid=MOBE3Z3F7THKGD95&affid=gkmlogist,Mobiles>Handsets,Hitech,,TRUE,TRUE,,,36,0,,White,inch,[],"[MOBED9Q24VCYU7QP, MOBED9Q28RCDPEVM, MOBED9Q2SARZFB34]",,,,,,
